words,00s,10s,20s,50s,60s,70s,80s,90s
374,0,0,1,0,0,0,0,0
375,0,0,1,0,0,0,0,0
376,0,0,1,0,0,0,0,0
377,0,0,1,0,0,0,0,0
378,0,0,1,0,0,0,0,0
379,0,0,1,0,0,0,0,0
38,0,1,3,0,0,0,0,0
380,0,0,1,0,0,0,0,0
381,0,0,1,0,0,0,0,0
382,0,0,1,0,0,0,0,0
383,0,0,1,0,0,0,0,0
384,0,0,1,0,0,0,0,0
385,0,0,1,0,0,0,0,0
386,0,0,1,0,0,0,0,0
387,0,0,1,0,0,0,0,0
388,0,0,1,0,0,0,0,0
389,0,0,1,0,0,0,0,0
39,0,1,2,0,0,0,0,0
390,0,0,1,0,0,0,0,0
391,0,0,1,0,0,0,0,0
392,0,0,1,0,0,0,0,0
393,0,0,1,0,0,0,0,0
394,0,0,1,0,0,0,0,0
395,0,0,1,0,0,0,0,0
396,0,0,1,0,0,0,0,0
397,0,0,1,0,0,0,0,0
398,0,0,1,0,0,0,0,0
399,0,0,1,0,0,0,0,0
3am,0,0,1,0,0,0,0,0
3christopher,0,0,1,0,0,0,0,0
3deezie,0,0,1,0,0,0,0,0
3howard,0,0,1,0,0,0,0,0
3lau,0,0,1,0,0,0,0,0
3lw,0,0,1,0,0,0,0,0
3macca,0,0,1,0,0,0,0,0
3phoebe,0,0,1,0,0,0,0,0
3rd,0,0,1,0,0,0,0,0
3silk,0,0,1,0,0,0,0,0
3tayk,0,0,1,0,0,0,0,0
3the,0,0,1,0,0,0,0,0
3wallows,0,0,1,0,0,0,0,0
3x,0,0,1,0,0,0,0,0
3young,0,0,1,0,0,0,0,0
40,0,1,2,0,0,0,0,1
400,0,0,2,0,0,0,0,0
40000,0,0,0,0,0,1,0,0
401,0,0,1,0,0,0,0,0
402,0,0,1,0,0,0,0,0
403,0,0,1,0,0,0,0,0
404,0,0,1,0,0,0,0,0
405,0,0,1,0,0,0,0,0
406,0,0,1,0,0,0,0,0
407,0,0,1,0,0,0,0,0
4076209208,0,1,0,0,0,0,0,0
408,0,0,1,0,0,0,0,0
409,0,0,1,0,0,0,0,0
41,0,1,2,0,0,0,1,0
410,0,0,1,0,0,0,0,0
411,0,0,1,0,0,0,0,0
412,0,0,1,0,0,0,0,0
